Event,Time,Cell,Notes
Duplicate,103.66181759094353,0ed3df50-e2f3-11ed-2211-e360c6a1a1b0,"Base.UUID[UUID(""0ed3b840-e2f3-11ed-3852-3f92cab1284f"")]"
Duplicate,107.64212315286096,0ed3df50-e2f3-11ed-08dc-a71d423a1929,"Base.UUID[UUID(""0ed3df50-e2f3-11ed-0961-13c5df4a9c49"")]"
Duplicate,107.64212315286096,0ed3df50-e2f3-11ed-0543-112f52b8263d,"Base.UUID[UUID(""0ed3df50-e2f3-11ed-0961-13c5df4a9c49"")]"
Duplicate,107.98547795377993,0ed40660-e2f3-11ed-17d5-736721583cdd,"Base.UUID[UUID(""0ed3df50-e2f3-11ed-0543-112f52b8263d"")]"
Duplicate,107.98547795377993,0ed40660-e2f3-11ed-38c7-7157d8d17afb,"Base.UUID[UUID(""0ed3df50-e2f3-11ed-0543-112f52b8263d"")]"
Duplicate,109.342337590427,0ed40660-e2f3-11ed-3857-ab0aa86649fc,"Base.UUID[UUID(""0ed40660-e2f3-11ed-38c7-7157d8d17afb"")]"
Duplicate,109.342337590427,0ed40660-e2f3-11ed-384f-230eef6f34b2,"Base.UUID[UUID(""0ed40660-e2f3-11ed-38c7-7157d8d17afb"")]"
Duplicate,114.1831668836253,0ed40660-e2f3-11ed-170a-b16f2d53d880,"Base.UUID[UUID(""0ed40660-e2f3-11ed-3857-ab0aa86649fc"")]"
Duplicate,114.1831668836253,0ed40660-e2f3-11ed-3baf-77a8b07d657c,"Base.UUID[UUID(""0ed40660-e2f3-11ed-3857-ab0aa86649fc"")]"
Duplicate,114.3510145017175,0ed42d70-e2f3-11ed-114e-8fd9c447ef6a,"Base.UUID[UUID(""0ed40660-e2f3-11ed-384f-230eef6f34b2"")]"
Duplicate,114.3510145017175,0ed42d70-e2f3-11ed-1189-b5fc21eb8297,"Base.UUID[UUID(""0ed40660-e2f3-11ed-384f-230eef6f34b2"")]"
Death,119.70243650840511,0ed40660-e2f3-11ed-17d5-736721583cdd,UndefInitializer()
Duplicate,121.10995000992361,0ed42d70-e2f3-11ed-20fb-1503a23cc3af,"Base.UUID[UUID(""0ed42d70-e2f3-11ed-114e-8fd9c447ef6a"")]"
Duplicate,121.10995000992361,0ed42d70-e2f3-11ed-0fa4-9b615c3a322c,"Base.UUID[UUID(""0ed42d70-e2f3-11ed-114e-8fd9c447ef6a"")]"
Death,121.41062944510352,0ed42d70-e2f3-11ed-0fa4-9b615c3a322c,UndefInitializer()
Duplicate,125.81844930534176,0ed45480-e2f3-11ed-3951-0d29c4d04d47,"Base.UUID[UUID(""0ed42d70-e2f3-11ed-20fb-1503a23cc3af"")]"
Duplicate,125.81844930534176,0ed45480-e2f3-11ed-05ff-67c64a2c0287,"Base.UUID[UUID(""0ed42d70-e2f3-11ed-20fb-1503a23cc3af"")]"
Death,129.19171285578062,0ed40660-e2f3-11ed-170a-b16f2d53d880,UndefInitializer()
Duplicate,129.84074261481095,0ed45480-e2f3-11ed-3d73-c5dd53726fbb,"Base.UUID[UUID(""0ed40660-e2f3-11ed-3baf-77a8b07d657c"")]"
Duplicate,129.84074261481095,0ed45480-e2f3-11ed-0459-97a7b4769c06,"Base.UUID[UUID(""0ed40660-e2f3-11ed-3baf-77a8b07d657c"")]"
Death,134.19864672074704,0ed3df50-e2f3-11ed-08dc-a71d423a1929,UndefInitializer()
Duplicate,134.59963093898617,0ed47b92-e2f3-11ed-3ee4-71310cdc48e8,"Base.UUID[UUID(""0ed3b840-e2f3-11ed-3433-c7581578f966"")]"
Duplicate,134.59963093898617,0ed47b92-e2f3-11ed-1d5e-d3fe255385ec,"Base.UUID[UUID(""0ed3b840-e2f3-11ed-3433-c7581578f966"")]"
Duplicate,134.69412291956954,0ed47b92-e2f3-11ed-1e16-4de6b06735b7,"Base.UUID[UUID(""0ed45480-e2f3-11ed-0459-97a7b4769c06"")]"
Duplicate,134.69412291956954,0ed47b92-e2f3-11ed-2201-4f1af1667e2e,"Base.UUID[UUID(""0ed45480-e2f3-11ed-0459-97a7b4769c06"")]"
Death,139.86904497787535,0ed45480-e2f3-11ed-05ff-67c64a2c0287,UndefInitializer()
Duplicate,142.20654898741853,0ed4a2a0-e2f3-11ed-098d-c3ac6582c57b,"Base.UUID[UUID(""0ed45480-e2f3-11ed-3951-0d29c4d04d47"")]"
Duplicate,142.20654898741853,0ed4a2a0-e2f3-11ed-00ac-1187f9208ff1,"Base.UUID[UUID(""0ed45480-e2f3-11ed-3951-0d29c4d04d47"")]"
Death,145.80437230071064,0ed4a2a0-e2f3-11ed-00ac-1187f9208ff1,UndefInitializer()
Death,148.72766850354216,0ed39130-e2f3-11ed-1eda-eb8fc2ee71bb,UndefInitializer()
Duplicate,155.2672944000094,0ed4f0be-e2f3-11ed-1f5e-9997491a748f,"Base.UUID[UUID(""0ed47b92-e2f3-11ed-1d5e-d3fe255385ec"")]"
Duplicate,155.2672944000094,0ed4f0be-e2f3-11ed-38ac-83643c26fe4e,"Base.UUID[UUID(""0ed47b92-e2f3-11ed-1d5e-d3fe255385ec"")]"
Duplicate,157.86497419001287,0ed4f0be-e2f3-11ed-13e1-1b1abafec367,"Base.UUID[UUID(""0ed4a2a0-e2f3-11ed-098d-c3ac6582c57b"")]"
Duplicate,157.86497419001287,0ed4f0be-e2f3-11ed-016f-6d32d6440970,"Base.UUID[UUID(""0ed4a2a0-e2f3-11ed-098d-c3ac6582c57b"")]"
Death,169.76964844549607,0ed42d70-e2f3-11ed-1189-b5fc21eb8297,UndefInitializer()
Death,172.16667151207633,0ed4f0be-e2f3-11ed-38ac-83643c26fe4e,UndefInitializer()
Death,176.43142778909333,0ed4f0be-e2f3-11ed-016f-6d32d6440970,UndefInitializer()
Migration,177.15130511922672,0ed4f0be-e2f3-11ed-13e1-1b1abafec367,UndefInitializer()
Death,183.26242720065258,0ed45480-e2f3-11ed-3d73-c5dd53726fbb,UndefInitializer()
Duplicate,184.2908239318973,0efc9cfe-e2f3-11ed-3520-2543f6313f4b,"Base.UUID[UUID(""0ed4f0be-e2f3-11ed-1f5e-9997491a748f"")]"
Duplicate,184.2908239318973,0efc9cfe-e2f3-11ed-340e-1b595e55cca0,"Base.UUID[UUID(""0ed4f0be-e2f3-11ed-1f5e-9997491a748f"")]"
Death,184.32241376121576,0ed47b92-e2f3-11ed-3ee4-71310cdc48e8,UndefInitializer()
Duplicate,186.02606477939256,0efc9cfe-e2f3-11ed-098e-91445645bfcd,"Base.UUID[UUID(""0ed47b92-e2f3-11ed-1e16-4de6b06735b7"")]"
Duplicate,186.02606477939256,0efc9cfe-e2f3-11ed-034c-b383f5fdd17c,"Base.UUID[UUID(""0ed47b92-e2f3-11ed-1e16-4de6b06735b7"")]"
